단어,빈도,점수
재생,1,1.0
권리,1,1.0
콜스,1,1.0
원단,1,1.0
빨간색,1,1.0
과감,1,1.0
가능,1,1.0
출발,1,1.0
첨부,1,1.0
공유,1,1.0
얼음,1,-0.5
유동성,1,-0.3333
리노,1,1.0
판결,1,0.0
고유,1,1.0
브로커,1,1.0
순수하다,1,1.0
법원,1,0.0
유압장치,1,1.0
호수,1,1.0
알렉산더,1,1.0
기름,1,1.0
간편하다,1,1.0
가브릴,1,1.0
플레이,1,1.0
인간,1,1.0
수락,1,1.0
왈루스,1,1.0
비욘,1,1.0
의존,1,1.0
몰딩,1,1.0
이기,1,1.0
회의,1,1.0
안전하다,1,1.0
삭감,1,0.0
설득,1,1.0
화상,1,1.0
비트,1,1.0
트래픽,1,0.0
유럽연합,1,1.0
바이오연료,1,1.0
송신,1,1.0
제기,1,0.0
자유롭다,1,1.0
도전,1,0.0
재생에너지,1,1.0
동물원,1,1.0
폴카,1,1.0
반영,1,1.0
재무약정,1,1.0
배관,1,-0.5
유제품,1,1.0
부코바,1,1.0
달라지다,1,1.0
빅토리아,1,1.0
리샤,1,1.0
선명하다,1,1.0
위함,1,1.0
경력,1,1.0
감탄,1,1.0
기획,1,1.0
태양열,1,1.0
진정하다,1,1.0
나다,1,-0.5
증권사,1,1.0
먼저,1,1.0
디츠,1,1.0
저명하다,1,1.0
전문화,1,1.0
인텔리전스,1,1.0
건강하다,1,1.0
합판,1,0.0
창업,1,0.0
베자,1,1.0
투표,1,0.0
조우,1,1.0
소키,1,1.0
저희,1,1.0
도이체방크,1,1.0
매니저,1,1.0
보류,1,1.0
팀원,1,1.0
책임지다,1,1.0
이렇다,1,1.0
선거,1,1.0
실행,1,1.0
편리하다,1,1.0
하리,1,1.0
주거지,1,1.0
유하,1,0.0
에고,1,1.0
코스키넨,1,1.0
조명,1,1.0
인력,1,-0.8462
펠트,1,1.0
곡선,1,1.0
징후,1,1.0
포이리에,1,1.0
비량,1,1.0
안드레이,1,1.0
스눕,1,1.0
적대,1,1.0
베스트셀러,1,1.0
탄탄하다,1,1.0
라사,1,1.0
서비스업,1,1.0
데려오다,1,1.0
투자수익률,1,1.0
페빌,1,1.0
원격,1,1.0
배려,1,1.0
도코모,1,1.0
시티,1,0.0
컨버,1,1.0
양육,1,1.0
더크,1,1.0
존스,1,1.0
일리,1,1.0
발걸음,1,1.0
내딛다,1,1.0
사우디,1,1.0
미시시피,1,1.0
리코,1,0.0
중립,1,1.0
린치,1,1.0
우려,1,-0.3333
시일,1,1.0
캠벨,1,1.0
메릴린치,1,1.0
링크스,1,1.0
아일랜드,1,0.0
전후,1,1.0
모로코,1,1.0
거절,1,1.0
요르단,1,1.0
그레이,1,1.0
카타르,1,1.0
아라비아,1,1.0
스티그,1,1.0
상쇄될,1,1.0
곱다,1,-0.3333
명확하다,1,1.0
집단,1,1.0
부가가치세,1,0.0
리에투바,1,1.0
플랜트,1,1.0
알리다,1,0.0
실라,1,-0.5
양극,1,1.0
의사결정,1,1.0
각자,1,1.0
브록팔러,1,1.0
헤르체고비나,1,1.0
인셉티브,1,1.0
넓다,1,1.0
칭찬,1,1.0
보스니아,1,1.0
스트립,1,1.0
프레임,1,1.0
대통령,1,0.0
헤닝,1,1.0
뮤직,1,1.0
창슈,1,1.0
훙메이,1,1.0
검증,1,1.0
일관,1,0.0
네덜란드,1,0.0
업자,1,1.0
보통,1,1.0
흑자,1,0.0
랩스,1,1.0
조선,1,1.0
거나,1,1.0
젖다,1,1.0
노면,1,1.0
제동,1,1.0
수량,1,1.0
스탈,1,1.0
주행,1,1.0
지드,1,1.0
라며,1,1.0
불어,1,1.0
접촉,1,1.0
조니,1,1.0
스칸,1,1.0
스트라이프,1,1.0
램프,1,1.0
시가,1,1.0
검색,1,0.0
철강업,1,1.0
피부,1,1.0
이즈,1,1.0
초가을,1,1.0
피쉬,1,1.0
본의,1,0.0
액티비전,1,1.0
포르투갈,1,1.0
셀비,1,1.0
샌드버그,1,1.0
켈리,1,1.0
마스터,1,1.0
거지,1,1.0
편안하다,1,1.0
고다,1,1.0
이행,1,1.0
적정,1,1.0
카라,1,1.0
토대,1,0.0
티드,1,1.0
리미,1,1.0
폐쇄,1,-0.75
솔리디움,1,0.0
형성,1,0.0
합치,1,1.0
생산자,1,-0.3333
고치,1,1.0
아이디어,1,1.0
잉게루,1,1.0
자산운용,1,0.0
그러하다,1,0.0
모르타르,1,1.0
프리,1,1.0
천연섬유,1,1.0
맥시스,1,1.0
명확,1,1.0
전세계,1,1.0
마코,1,1.0
오랄,1,1.0
라카,1,1.0
파랗다,1,1.0
절삭,1,1.0
리트,1,1.0
랙티브,1,1.0
익명,1,1.0
지니다,1,1.0
워터마크,1,1.0
알파,1,1.0
로버트,1,1.0
정유,1,1.0
항체,1,1.0
카마,1,1.0
관점,1,1.0
파트,1,1.0
운용,1,0.0
광장,1,1.0
진주,1,1.0
섭취량,1,1.0
벌크선,1,1.0
빈사,1,1.0
비롯,1,0.0
실시간,1,1.0
치과,1,1.0
슐테보쿰,1,1.0
옌스,1,1.0
내용,1,1.0
역외,1,1.0
닿다,1,1.0
교통부,1,1.0
그라츠,1,1.0
스프링,1,1.0
실버,1,1.0
워싱턴,1,1.0
나고야,1,1.0
요코하마,1,1.0
대체,1,1.0
텔레노어,1,1.0
압축,1,1.0
시상,1,1.0
포콤프,1,1.0
표백,1,1.0
타르모,1,1.0
눕다,1,1.0
마키,1,-0.5
관세,1,0.0
레미,1,1.0
일반,1,1.0
들리다,1,1.0
낙관,1,1.0
기다리다,1,1.0
쿠나,1,1.0
현대차,1,1.0
칠면조,1,1.0
제과,1,1.0
오하이오주,1,1.0
중심성,1,1.0
스티,1,1.0
유치원,1,1.0
판정,1,1.0
신시내티,1,1.0
권장,1,1.0
공작기계,1,1.0
언리미티드,1,1.0
스탠리,1,1.0
비공개,1,1.0
기계공학,1,1.0
앤지,1,1.0
세분,1,1.0
선전,1,1.0
최저,1,-0.6
신차,1,0.0
플레이어,1,1.0
국적,1,0.0
스택,1,1.0
자바,1,1.0
발리,1,1.0
수마트라,1,1.0
볼륨,1,1.0
비워벤스,1,1.0
탄산음료,1,1.0
바탐,1,1.0
렉시,1,1.0
라디오,1,1.0
가열,1,1.0
업무,1,-0.3333
자로,1,1.0
자하,1,1.0
스마,1,1.0
코카콜라,1,-0.3333
코피,1,1.0
지바,1,1.0
코넷,1,1.0
사우스,1,1.0
닐슨,1,1.0
오스틴,1,1.0
수석,1,1.0
오브,1,0.0
코그,1,1.0
분배,1,0.0
반등,1,0.0
약동학,1,1.0
붙다,1,1.0
면제,1,1.0
센트럴,1,1.0
미시간,1,1.0
사우스필드,1,1.0
두바이,1,1.0
수처리,1,1.0
트레이드,1,1.0
응고,1,1.0
무기,1,1.0
리오,1,1.0
안드라프라데시,1,1.0
드베즈혜고르스크,1,1.0
동석,1,0.0
툴리키비,1,1.0
스트레이팅,1,1.0
테이프,1,1.0
재사용,1,1.0
과반수,1,1.0
특성,1,1.0
다이나믹스,1,1.0
테미,1,1.0
부메랑,1,1.0
이의,1,1.0
모뎀,1,1.0
류마티스,1,1.0
관절염,1,1.0
스트리밍,1,1.0
조정은,1,0.0
장소,1,1.0
분할,1,1.0
점포,1,1.0
휴업,1,1.0
임시,1,-0.5
코발트,1,1.0
노릴스크,1,1.0
작동,1,1.0
새다,1,1.0
발티카,1,1.0
크로나,1,0.0
종가,1,1.0
레지나,1,1.0
바나,1,1.0
페트병,1,1.0
블릭,1,1.0
이유,1,0.0
리소스,1,0.0
노스랜드,1,1.0
커머스,1,1.0
푸린,1,1.0
국제화,1,1.0
보헤미아,1,1.0
채굴,1,1.0
다가가다,1,1.0
하바,1,0.0
풀리다,1,1.0
이니셔티브,1,1.0
브르노,1,1.0
상표,1,-0.3333
상징,1,1.0
특허청,1,1.0
위스콘신,1,1.0
오이지,1,0.0
피터,1,1.0
지난달,1,-0.3333
위키,1,1.0
스위트,1,1.0
발견,1,-0.3333
스털링,1,1.0
멘토스,1,1.0
국민,1,1.0
파가,1,1.0
단말,1,1.0
데이터베이스,1,1.0
라마,1,1.0
스베,1,1.0
구글,1,0.0
브링카브,1,1.0
키루나,1,1.0
시카고,1,1.0
펠릿,1,1.0
비계,1,1.0
건선,1,1.0
유사하다,1,1.0
달리,1,0.0
차량,1,0.0
그니,1,1.0
리서치,1,1.0
카마라,1,1.0
텔레매틱스,1,1.0
통카,1,1.0
민네,1,1.0
카리아,1,1.0
리포트,1,1.0
셀프,1,1.0
학교,1,1.0
살아나다,1,1.0
담보,1,1.0
접목,1,1.0
최첨단,1,1.0
단독주택,1,1.0
소의,1,-0.3333
특색,1,1.0
은행업,1,1.0
수십,1,0.0
예카테린부르크,1,1.0
파업,1,-0.6667
주년,1,1.0
창립,1,1.0
만하,1,1.0
찬사,1,1.0
부로,1,1.0
청원,1,1.0
우위,1,1.0
일주일,1,1.0
헥타르,1,1.0
공원,1,1.0
싱하,1,1.0
스크린,1,1.0
라이티넨,1,1.0
사내,1,1.0
유시,1,1.0
싣다,1,1.0
어스,1,1.0
이야기,1,1.0
작다,1,0.0
미끼,1,1.0
표지,1,1.0
레닌그라드,1,1.0
브세볼로시스크,1,1.0
먼로,1,1.0
마릴,1,1.0
증설,1,1.0
오스,1,0.0
할인,1,1.0
네팔,1,1.0
릴리스,1,1.0
인구,1,1.0
임원,1,0.0
원가,1,0.0
베사,1,1.0
정기,1,1.0
메이저,1,1.0
능률,1,1.0
수상,1,1.0
후의,1,1.0
칼레,1,1.0
대만,1,1.0
비자,1,1.0
특별하다,1,1.0
관련성,1,1.0
웨이브,1,1.0
한센,1,1.0
동남아,1,1.0
브루스,1,1.0
연구원,1,1.0
해제,1,1.0
맥아,1,1.0
본격,1,1.0
울버린,1,1.0
자부심,1,1.0
흥분,1,1.0
치가,1,1.0
위축,1,-0.3333
회담,1,0.0
복합,1,0.0
룬드벡,1,1.0
마야,1,1.0
도버,1,1.0
항로,1,1.0
스트랜드,1,1.0
조선소,1,1.0
보증,1,1.0
어댑터,1,1.0
어소,1,1.0
트러스트,1,1.0
전략기획,1,1.0
엠버,1,1.0
룩셈부르크,1,1.0
추적,1,1.0
합류,1,1.0
이크스,1,1.0
격려,1,1.0
낚시꾼,1,1.0
피터슨,1,1.0
집행,1,0.0
프랭크,1,1.0
스티오,1,1.0
야적,1,1.0
별다르다,1,1.0
리콜,1,1.0
경우,1,-0.6667
라우마,1,1.0
도운,1,1.0
담합,1,1.0
음모,1,1.0
관계자,1,0.0
탈렌텀,1,1.0
격차,1,1.0
해소,1,1.0
노바,1,1.0
토르,1,1.0
대여,1,0.0
폭풍우,1,1.0
탐페레,1,-0.5
번의,1,1.0
사이트,1,-0.3333
버리다,1,0.0
나무,1,0.0
이로,1,1.0
키로스,1,1.0
천연가스,1,1.0
토지,1,1.0
행사,1,1.0
티엄,1,1.0
주변,1,0.0
감원,1,-0.8
카우핑,1,1.0
개발도상국,1,0.0
티아이,1,1.0
가담,1,1.0
멀다,1,1.0
치열하다,1,1.0
의향,1,1.0
부응,1,1.0
교역,1,1.0
주입,1,1.0
착수,1,1.0
도심,1,1.0
이끌다,1,0.0
일정,1,0.0
리플,1,0.0
정보기술,1,1.0
약정,1,0.0
위프,1,1.0
구간,1,1.0
고속,1,1.0
베를린,1,1.0
접속,1,1.0
주거,1,1.0
연락망,1,1.0
콘술,1,1.0
유로스타,1,1.0
매점,1,1.0
뉴욕증시,1,1.0
중추,1,1.0
보행,1,1.0
난관,1,0.0
자극제,1,1.0
설문조사,1,0.0
사들이다,1,1.0
장애,1,1.0
양성,1,1.0
몬테비데오,1,1.0
금연,1,1.0
제분,1,0.0
소가,1,-0.3333
원자로,1,1.0
법적,1,1.0
맥손,1,1.0
찾기,1,1.0
차익,1,1.0
미만,1,-0.5
일일,1,1.0
선고,1,1.0
무죄,1,1.0
개설,1,0.0
콜레스테롤,1,1.0
로드맵,1,1.0
샤프,1,1.0
산업화,1,0.0
그리스,1,1.0
보행자,1,1.0
케스쿠스카투,1,1.0
고리,1,1.0
핸드,1,1.0
노씨,1,1.0
유압,1,1.0
탈취,1,1.0
낮추다,1,-0.6
제거,1,1.0
차별,1,1.0
애프터,1,1.0
모래,1,1.0
분해,1,1.0
유입,1,1.0
기업인,1,1.0
요건,1,1.0
지침,1,1.0
상점,1,1.0
가구,1,-0.3333
파스,1,1.0
항공모함,1,1.0
이상인,1,1.0
튼튼하다,1,1.0
매매,1,0.0
발메트,1,1.0
락베레,1,1.0
카삭,1,1.0
프리트,1,1.0
시나,1,1.0
사마,1,1.0
발티,1,1.0
인산염,1,0.0
르비,1,1.0
시리다,1,1.0
미네,1,1.0
메시지,1,1.0
묶이다,1,1.0
논워븐,1,1.0
크리스토퍼,1,1.0
파파,1,1.0
레스토랑,1,1.0
양질,1,1.0
성공하다,1,1.0
노텔,1,1.0
고려,1,-0.3333
버라이즌,1,1.0
텔랩스,1,1.0
테오,1,1.0
게팅거,1,1.0
견실,1,1.0
개항,1,1.0
사이공,1,1.0
하우스,1,1.0
트레이너,1,1.0
엘렉트,1,1.0
깊다,1,1.0
유서,1,1.0
피드백,1,1.0
오늘날,1,1.0
정시,1,1.0
공급망,1,1.0
리더,1,1.0
하량,1,1.0
가중,1,1.0
피브,1,1.0
수도,1,1.0
기본,1,-0.3333
사우디아라비아,1,1.0
허치슨,1,1.0
녹다,1,1.0
워치,1,0.0
건전하다,1,1.0
빌핑거,1,1.0
고무,1,1.0
뉴포트,1,1.0
방출,1,1.0
파푸아뉴기니,1,1.0
수리,1,0.0
마타,1,1.0
신세대,1,1.0
투르쿠,1,-0.3333
자본금,1,0.0
기부,1,1.0
정오,1,1.0
커패시터,1,1.0
인기,1,1.0
안전,1,1.0
운전자,1,0.0
포욜라,1,1.0
노조,1,-0.5
간주,1,1.0
특수,1,1.0
중요성,1,1.0
승자,1,1.0
미터,1,1.0
월비스,1,1.0
나미비아,1,1.0
서해안,1,1.0
테라,1,1.0
머티리얼즈,1,1.0
모리스,1,1.0
조작,1,1.0
사나이,1,1.0
건조,1,1.0
타워,1,1.0
가동,1,1.0
시트,1,1.0
사우스캐롤라이나,1,1.0
사가,1,0.0
걸다,1,1.0
베이버,1,1.0
등반,1,1.0
차이나,1,1.0
내의,1,1.0
플랜,1,1.0
특정,1,0.0
호의,1,0.0
통화,1,-0.6
부와,1,1.0
지방행정,1,1.0
칼루,1,1.0
야금,1,1.0
변국,1,1.0
메트,1,1.0
츠베트,1,1.0
내다보다,1,1.0
릴리즈,1,1.0
해롭다,1,1.0
나란하다,1,1.0
타블로,1,1.0
하이브리드,1,1.0
관성,1,0.0
도쿰쿨,1,1.0
급사,1,1.0
소프트볼,1,1.0
야구,1,1.0
인터내셔널,1,1.0
덕츠,1,1.0
피트니스,1,1.0
캘리포니아,1,1.0
활발하다,1,1.0
아웃소싱,1,1.0
도메인,1,1.0
심층,1,1.0
수년,1,1.0
안내,1,1.0
분쟁,1,1.0
위성,1,1.0
카푸,1,1.0
활발해지다,1,1.0
슈톡,1,1.0
기대다,1,1.0
영구,1,-0.5
상무이사,1,0.0
마찬가지,1,1.0
프로즌,1,1.0
카르피,1,1.0
코트카,1,1.0
피칭,1,1.0
네바다,1,1.0
펑키,1,1.0
케어,1,0.0
광석,1,1.0
크롬,1,1.0
함대,1,1.0
벌다,1,1.0
저스트,1,1.0
윈윈,1,1.0
글리스텐,1,0.0
대치,1,1.0
하반기,1,0.0
반응,1,0.0
표준화,1,1.0
플러스,1,1.0
중재,1,0.0
핸들,1,1.0
러프,1,1.0
갈다,1,-0.3333
차돌,1,1.0
남다,1,0.0
연초,1,1.0
벽난로,1,-0.5
에이커,1,1.0
사옥,1,1.0
자문,1,0.0
낙찰,1,1.0
특허,1,-0.6
처리량,1,1.0
온실가스,1,1.0
아시,1,1.0
소셜네트워크서비스,1,1.0
차이나모바일,1,1.0
이동통신,1,1.0
올림픽,1,1.0
보어,1,1.0
일가,1,1.0
레티그,1,1.0
법인세,1,0.0
대리점,1,1.0
배출,1,1.0
팩스,1,1.0
와이맥스,1,1.0
주파수,1,0.0
기성,1,1.0
단가,1,1.0
하드웨어,1,0.0
차리다,1,1.0
개편,1,0.0
이하,1,0.0
결합함,1,1.0
오류,1,1.0
수집,1,1.0
디지털화,1,1.0
윌슨,1,1.0
사담,1,1.0
수송량,1,1.0
전량,1,1.0
자연,1,1.0
붕게,1,1.0
중부유럽,1,1.0
모습,1,1.0
리흐코,1,1.0
해오다,1,1.0
달도,1,1.0
로사넨,1,1.0
관리자,1,0.0
영토,1,1.0
크란,1,1.0
분리,1,1.0
부업,1,1.0
보기,1,1.0
바이에른,1,1.0
약세,1,-0.6
정이,1,1.0
부가가치,1,1.0
근로,1,0.0
재원,1,1.0
채무,1,1.0
만기,1,0.0
재개발,1,1.0
루크,1,1.0
독타스,1,1.0
파이프라인,1,1.0
우선,1,1.0
리얼,1,1.0
밥콕,1,1.0
헤드,1,1.0
크리스털,1,1.0
모노,1,1.0
광전지,1,1.0
태양,1,1.0
센서,1,1.0
반도체,1,1.0
미네랄,1,1.0
크룩,1,1.0
노동,1,0.0
나스,1,-0.3333
멘스,1,1.0
서킷,1,1.0
주간,1,-0.5
탐미,1,1.0
앵커,1,1.0
흡입,1,1.0
칼라,1,-0.3333
동월,1,0.0
프로모션,1,1.0
테흐타트,1,1.0
에넨,1,1.0
그래픽,1,1.0
페이,1,1.0
외국,1,1.0
이직,1,0.0
도매,1,1.0
릴라,1,1.0
게이트,1,1.0
소프트,1,1.0
벨트,1,1.0
액세서리,1,1.0
사무,1,0.0
토텍,1,1.0
컨버전,1,1.0
압프,1,0.0
식기,1,-0.3333
조공,1,1.0
앤드류,1,1.0
냉동식품,1,1.0
분율,1,1.0
그치다,1,0.0
파벨,1,1.0
케밥,1,1.0
그릴,1,1.0
소시지,1,1.0
포르티,1,1.0
오멘,1,1.0
비수,1,1.0
아크,1,1.0
드리다,1,0.0
홀마,1,1.0
개막,1,1.0
키사,1,1.0
계열,1,1.0
릴리,1,-0.3333
급여,1,1.0
텔리,1,1.0
카피,1,1.0
물동량,1,1.0
블라디미르,1,0.0
셀러,1,1.0
가입자,1,1.0
메가폰,1,1.0
후반,1,1.0
밸리,1,1.0
컨트랙트,1,1.0
깨다,1,1.0
손잡다,1,1.0
산요,1,1.0
플랫,1,1.0
휘발유,1,1.0
하미나,1,1.0
삼림,1,1.0
점점,1,0.0
성장기,1,1.0
충족,1,1.0
가용,1,1.0
좌석,1,-0.3333
공기업,1,1.0
마이크로,1,1.0
선라이즈,1,1.0
과학기술,1,1.0
물리,1,1.0
줄리아,1,1.0
핀라인스,1,-0.3333
열악하다,1,1.0
그리말디,1,0.0
복잡하다,1,0.0
중점,1,1.0
일회용,1,1.0
전역,1,0.0
쿠스,1,1.0
노드,1,1.0
경로,1,0.0
리턴,1,1.0
코텔,1,1.0
전적,1,1.0
확정,1,1.0
페리선,1,1.0
전문점,1,1.0
바클레이스,1,1.0
왕립,1,1.0
스코틀랜드,1,1.0
세로,1,0.0
농업,1,0.0
컴포,1,1.0
어떻다,1,1.0
소프,1,1.0
딘무카멧,1,1.0
아스타나,1,1.0
시사,1,1.0
증대,1,1.0
남미,1,1.0
중미,1,1.0
별도,1,0.0
트래블,1,1.0
리힘,1,1.0
제록스,1,1.0
구체,1,1.0
르꼬크,1,1.0
업다,1,1.0
탱크,1,1.0
베리,1,1.0
탑승,1,1.0
구리,1,0.0
트렌트,1,1.0
롤스로이스,1,1.0
프레,1,-0.6
엔트레,1,1.0
데크,1,1.0
띄다,1,1.0
붕어,1,1.0
칼샴,1,1.0
제리,1,1.0
룬드,1,1.0
변동,1,-0.7143
활기,1,1.0
예견,1,1.0
피보,1,0.0
리드스코,1,0.0
산소,1,1.0
충당,1,0.0
추출,1,1.0
이륙,1,1.0
카메코,1,1.0
라가,1,1.0
카모,1,1.0
아폴로,1,1.0
창호,1,1.0
포르사,1,1.0
네스트,1,1.0
창문,1,1.0
지르다,1,1.0
유틀란트,1,1.0
윤활유,1,1.0
소유권,1,1.0
항만,1,1.0
마크,1,1.0
발간,1,1.0
사르다,1,1.0
악세사리,1,1.0
최소한,1,1.0
증자,1,1.0
관보,1,1.0
수운,1,1.0
셰어,1,1.0
코드,1,1.0
사오다,1,1.0
원월드,1,1.0
아메리칸,1,1.0
일부인,1,0.0
유조선,1,0.0
예년,1,1.0
스트럭쳐스,1,1.0
지남,1,1.0
지배,1,1.0
섹션,1,1.0
매다,1,1.0
발달,1,1.0
총리,1,0.0
팔레,1,0.0
단백질,1,1.0
파이다,1,1.0
카요,1,1.0
포르부,1,1.0
도매업자,1,1.0
준금속,1,1.0
다소,1,1.0
영업소,1,1.0
캘린더,1,1.0
포스텔,1,1.0
수의,1,0.0
직전,1,1.0
커지다,1,1.0
유료,1,1.0
로코,1,1.0
몽골,1,1.0
쿰푸,1,0.0
난징,1,1.0
라이프스타일,1,1.0
가입,1,1.0
세대,1,1.0
타의,1,1.0
컴포넌,1,1.0
필터,1,1.0
중복,1,-0.3333
알로넨,1,1.0
이키,1,1.0
로젠,1,1.0
매그너스,1,1.0
로서,1,1.0
방송사,1,1.0
사이버,1,1.0
접근성,1,1.0
루키건설,1,1.0
인지,1,1.0
서울,1,1.0
던지기,1,1.0
포모스,1,1.0
육류,1,0.0
입사,1,1.0
노프,1,1.0
우습다,1,1.0
알티,1,0.0
건포도,1,1.0
선구자,1,1.0
어바웃,1,1.0
호르몬,1,1.0
결단,1,1.0
금융투자,1,1.0
미고,1,1.0
어리다,1,1.0
미수,1,1.0
요제프,1,1.0
설치다,1,1.0
바니,1,1.0
자동,1,1.0
청문회,1,1.0
스니드,1,1.0
시대,1,1.0
사령탑,1,1.0
취소,1,-0.6
조짐,1,1.0
발신,1,1.0
자세하다,1,1.0
옐로우,1,1.0
미가,1,1.0
나이,1,1.0
유발,1,1.0
제이슨,1,1.0
데뷔전,1,1.0
예루살렘,1,1.0
윌리엄스,1,1.0
자와드,1,1.0
라보,1,1.0
인테리어,1,1.0
주방,1,1.0
홈웨어,1,1.0
헐다,1,0.0
안트베르펜,1,1.0
빌바오,1,1.0
지급,1,-0.6
환급,1,1.0
그레이프바인,1,1.0
중공업,1,1.0
미쓰비시,1,1.0
공학자,1,1.0
재편,1,1.0
패키지,1,1.0
작성,1,1.0
방문,1,1.0
진보,1,1.0
작전,1,1.0
응용,1,1.0
육군,1,1.0
종합,1,1.0
어폰오,1,1.0
위험,1,1.0
폐쇄하,1,1.0
군데,1,1.0
소재,1,1.0
의약품,1,1.0
오리,1,1.0
발사,1,1.0
업로드,1,1.0
부에나비스타,1,1.0
신트라,1,1.0
장관,1,1.0
신부,1,1.0
유치,1,1.0
원예,1,1.0
빌리다,1,1.0
말키,1,1.0
고의,1,1.0
왜건,1,1.0
엔터프라이즈,1,0.0
교사,1,1.0
교실,1,1.0
콩고,1,1.0
리가,1,0.0
카탈로그,1,1.0
발송,1,1.0
접수,1,0.0
입력,1,1.0
통찰,1,1.0
도르다,1,1.0
놓다,1,1.0
스트렐,1,1.0
건립,1,1.0
플라자,1,1.0
사건,1,1.0
금제,1,1.0
비싸다,1,0.0
가폰,1,1.0
지원이,1,1.0
컨텐츠,1,1.0
하므다,1,1.0
마일,1,1.0
텍스트,1,1.0
날짜,1,1.0
슈퍼마켓,1,1.0
코우볼라,1,1.0
전화번호부,1,1.0
블루,1,-0.3333
포엘,1,1.0
지하철,1,1.0
말르다,1,1.0
라떼,1,1.0
가일,1,1.0
멜른,1,1.0
닐스,1,1.0
휴가,1,1.0
근처,1,1.0
리조트,1,0.0
스파,1,1.0
타흐코,1,1.0
편이,1,0.0
페코니,1,1.0
수오,1,1.0
린지,1,1.0
품종,1,1.0
라이트,1,1.0
매끄럽다,1,1.0
엄청나다,1,1.0
프로세서,1,1.0
아톰,1,1.0
디아,1,1.0
판카,1,1.0
생태계,1,1.0
울트라,1,1.0
금융기관,1,1.0
레콤,1,1.0
끊임없다,1,1.0
앤틸,1,1.0
레미넨,1,1.0
스테이션,1,1.0
무인,1,1.0
장점,1,1.0
책정,1,1.0
폴리텍,1,1.0
공모전,1,1.0
유연하다,1,1.0
리뉴얼,1,1.0
버전,1,0.0
물이,1,1.0
멋지다,1,1.0
스카이라인,1,1.0
피아노,1,1.0
렌조,1,1.0
과거,1,1.0
양돈,1,1.0
매체,1,1.0
취했다,1,1.0
간소화,1,1.0
시몬,1,1.0
레나,1,1.0
협동조합,1,1.0
헨델스방켄,1,1.0
리델,1,1.0
오토텍,1,1.0
보탰다,1,1.0
냉각,1,1.0
렌탈업체,1,1.0
연매출,1,1.0
투여,1,1.0
진정제,1,1.0
링거,1,1.0
인공호흡,1,1.0
삽관,1,1.0
중환자실,1,1.0
프리펙스,1,1.0
조언,1,1.0
자의,1,1.0
순환,1,1.0
마이클,1,1.0
태블릿,1,1.0
테일,1,1.0
오스트레일리아,1,1.0
웨스턴,1,1.0
말레이시아인,1,1.0
야후,1,1.0
만들기,1,1.0
자원봉사자,1,1.0
볼티모어,1,0.0
디포,1,1.0
촉진,1,1.0
아울렛,1,1.0
전국,1,1.0
누르미넨,1,1.0
로지,1,1.0
스테판,1,1.0
오노디,1,1.0
레퍼런스,1,1.0
측면,1,0.0
시공,1,1.0
마우스,1,0.0
패드,1,1.0
컨트롤,1,1.0
화소,1,1.0
공공,1,1.0
바로,1,0.0
지하철역,1,1.0
원목,1,1.0
통나무,1,1.0
두드러지다,1,1.0
받아들이다,1,1.0
열정,1,1.0
운영자,1,1.0
중순,1,-0.5
콤비나트,1,1.0
리하,1,1.0
베레,1,1.0
스틱스,1,1.0
몰입,1,1.0
고급,1,1.0
고성,1,1.0
심닥스,1,1.0
사설,1,1.0
스턴,1,-0.3333
배우,1,1.0
외부,1,0.0
화폐,1,1.0
현명하다,1,1.0
잡지인,1,1.0
웃돌,1,1.0
수주량,1,1.0
제출,1,1.0
신청서,1,1.0
독자,1,0.0
버스터,1,1.0
바일,1,1.0
마트,1,1.0
사다,1,1.0
티셋,1,1.0
유우,1,1.0
언론,1,0.0
허스트,1,1.0
결실,1,1.0
더군다나,1,1.0
발언,1,0.0
다겐스,1,1.0
구급차,1,1.0
가나,1,1.0
구내,1,1.0
첸나이,1,1.0
소니,1,1.0
제시,1,-0.6
과학,1,1.0
고등,1,1.0
자치,1,1.0
리드,1,1.0
독서,1,1.0
센티,1,1.0
구성원,1,1.0
신흥,1,1.0
주목,1,1.0
건재,1,1.0
펀더멘털,1,1.0
시멘트,1,1.0
필리핀,1,1.0
에코,1,1.0
와트,1,1.0
지불,1,1.0
베네수엘라,1,1.0
포털,1,1.0
남바,1,1.0
아야,1,1.0
서쪽,1,1.0
지키다,1,1.0
베르,1,1.0
부가세,1,0.0
미세,1,1.0
사미,1,0.0
힐튼,1,1.0
수용,1,1.0
객실,1,1.0
뉴욕시,1,1.0
텔란,1,1.0
재산,1,1.0
지자체,1,1.0
르빈델센,1,1.0
스프,1,1.0
르티할,1,1.0
포레스트,1,1.0
게르,1,1.0
볼보,1,1.0
뮌헨,1,1.0
소득,1,1.0
마는,1,1.0
포지셔닝,1,1.0
벗어나다,1,1.0
연합,1,-0.3333
원하다,1,0.0
오마이,1,1.0
미코,1,1.0
담당자,1,1.0
미스,1,1.0
링맨,1,1.0
습득,1,1.0
판명,1,1.0
이탈,1,0.0
르티할스포르빈델,1,1.0
서부,1,-0.3333
시핑,1,1.0
그리그,1,1.0
송해,1,1.0
권한,1,1.0
트랜잭션,1,1.0
회복하다,1,1.0
시온,1,1.0
견주들,1,1.0
신청,1,1.0
부오렌마,1,1.0
로비사,1,1.0
등급,1,-0.3333
대감,1,1.0
브리티시컬럼비아,1,1.0
크라프트,1,1.0
후르,1,1.0
