단어,빈도,점수,빈도정규화,유사도점수,최종점수
회복,4,1.0,0.09677419042663901,1.0,0.8194
모빌리티,4,1.0,0.09677419042663901,0.76,0.7714
업데이트,4,0.6,0.09677419042663901,0.76,0.5314
바하,4,0.6,0.09677419042663901,0.76,0.5314
적용,4,0.6,0.09677419042663901,0.76,0.5314
교통량,4,0.3333,0.09677419042663901,0.6420698918739103,0.3477
도달,4,1.0,0.09677419042663901,0.76,0.7714
북부,4,1.0,0.09677419042663901,0.76,0.7714
정도,4,0.6,0.09677419042663901,0.76,0.5314
가을,4,0.1429,0.09677419042663901,1.0,0.3051
대규모,4,0.3333,0.09677419042663901,0.76,0.3713
목재,4,0.3333,0.09677419042663901,0.76,0.3713
패키징,4,0.3333,0.09677419042663901,0.76,0.3713
타우,4,1.0,0.09677419042663901,0.76,0.7714
입찰,4,1.0,0.09677419042663901,0.76,0.7714
중인,4,0.3333,0.09677419042663901,1.0,0.4193
시너지,4,1.0,0.09677419042663901,0.76,0.7714
광물,4,1.0,0.09677419042663901,0.76,0.7714
회로,4,1.0,0.09677419042663901,0.76,0.7714
상회,4,0.6,0.09677419042663901,0.76,0.5314
휴대전화,4,0.6,0.09677419042663901,1.0,0.5794
수익률,4,0.3333,0.09677419042663901,0.3333,0.286
티스,4,0.1429,0.09677419042663901,1.0,0.3051
호주,4,1.0,0.09677419042663901,0.76,0.7714
뒷받침,4,1.0,0.09677419042663901,0.76,0.7714
노스,4,1.0,0.09677419042663901,1.0,0.8194
테스트,4,0.6,0.09677419042663901,0.76,0.5314
성명,4,1.0,0.09677419042663901,0.7,0.7594
기관,4,1.0,0.09677419042663901,1.0,0.8194
코팅,4,0.6,0.09677419042663901,0.76,0.5314
가깝다,4,0.6,0.09677419042663901,0.76,0.5314
내년,4,1.0,0.09677419042663901,0.76,0.7714
여름,4,0.6,0.09677419042663901,0.76,0.5314
카스,4,1.0,0.09677419042663901,1.0,0.8194
스톡,4,0.6,0.09677419042663901,-0.3333,0.3127
권고,4,1.0,0.09677419042663901,0.76,0.7714
스테인리스강,4,1.0,0.09677419042663901,0.7855409492228608,0.7765
에어버스,4,0.6,0.09677419042663901,1.0,0.5794
예약,4,0.3333,0.09677419042663901,0.76,0.3713
체코,4,1.0,0.09677419042663901,1.0,0.8194
로드,4,1.0,0.09677419042663901,1.0,0.8194
성능,4,1.0,0.09677419042663901,0.76,0.7714
양해각서,4,1.0,0.09677419042663901,0.76,0.7714
아우,4,0.6,0.09677419042663901,1.0,0.5794
구역,4,1.0,0.09677419042663901,0.76,0.7714
캐나다,4,1.0,0.09677419042663901,0.6,0.7394
의하다,4,0.6,0.09677419042663901,1.0,0.5794
장부,4,1.0,0.09677419042663901,0.76,0.7714
검토,4,0.6,0.09677419042663901,0.76,0.5314
입증,4,1.0,0.09677419042663901,0.76,0.7714
고용,4,-0.1111,0.09677419042663901,0.7,0.0927
비중,4,1.0,0.09677419042663901,0.76,0.7714
카이,4,1.0,0.09677419042663901,1.0,0.8194
메소,4,0.6,0.09677419042663901,0.76,0.5314
태평양,4,1.0,0.09677419042663901,1.0,0.8194
스마트폰,4,0.6,0.09677419042663901,1.0,0.5794
자동차,4,0.3333,0.09677419042663901,0.7694687729720794,0.3732
사장,4,0.6,0.09677419042663901,0.76,0.5314
매입,4,1.0,0.09677419042663901,0.76,0.7714
스토크,4,1.0,0.09677419042663901,0.6232721128159507,0.744
가위,4,1.0,0.09677419042663901,0.76,0.7714
석유,4,0.6,0.09677419042663901,0.76,0.5314
제약,4,0.6,0.09677419042663901,0.6,0.4994
세인트루이스,4,1.0,0.09677419042663901,0.76,0.7714
지위,4,1.0,0.09677419042663901,0.76,0.7714
과정,4,0.6,0.09677419042663901,0.76,0.5314
자랑스럽다,4,1.0,0.09677419042663901,1.0,0.8194
대부분,4,0.1429,0.09677419042663901,0.4286,0.1908
영진,3,0.5,0.06451612695109267,0.76,0.4649
아우토텍,3,1.0,0.06451612695109267,0.8725126209825276,0.7874
연방,3,0.5,0.06451612695109267,0.7,0.4529
임업,3,0.5,0.06451612695109267,1.0,0.5129
단기,3,1.0,0.06451612695109267,0.7,0.7529
크로네,3,1.0,0.06451612695109267,1.0,0.8129
타이,3,1.0,0.06451612695109267,1.0,0.8129
딜러,3,0.2,0.06451612695109267,0.76,0.2849
스테인리스,3,1.0,0.06451612695109267,0.7855409492228608,0.77
선별,3,1.0,0.06451612695109267,1.0,0.8129
선불,3,1.0,0.06451612695109267,0.76,0.7649
헌신,3,1.0,0.06451612695109267,0.76,0.7649
훌륭하다,3,1.0,0.06451612695109267,0.76,0.7649
루스,3,1.0,0.06451612695109267,1.0,0.8129
처음,3,0.5,0.06451612695109267,0.76,0.4649
추천,3,1.0,0.06451612695109267,0.76,0.7649
렌털,3,1.0,0.06451612695109267,0.7,0.7529
나타나다,3,0.5,0.06451612695109267,0.6,0.4329
대차대조표,3,1.0,0.06451612695109267,0.76,0.7649
처분,3,1.0,0.06451612695109267,0.76,0.7649
보조금,3,1.0,0.06451612695109267,0.76,0.7649
법인,3,0.5,0.06451612695109267,0.0,0.3129
개념,3,1.0,0.06451612695109267,0.76,0.7649
스키,3,0.5,0.06451612695109267,0.7053162143828771,0.454
푸드,3,1.0,0.06451612695109267,0.76,0.7649
후지쯔,3,1.0,0.06451612695109267,1.0,0.8129
소개,3,1.0,0.06451612695109267,0.76,0.7649
교외,3,1.0,0.06451612695109267,0.76,0.7649
빌딩,3,1.0,0.06451612695109267,0.76,0.7649
찾다,3,0.5,0.06451612695109267,0.76,0.4649
해결,3,0.5,0.06451612695109267,0.76,0.4649
유치하다,3,1.0,0.06451612695109267,1.0,0.8129
플렉시블,3,0.2,0.06451612695109267,0.2,0.1729
참여,3,1.0,0.06451612695109267,0.76,0.7649
선보이다,3,1.0,0.06451612695109267,1.0,0.8129
열리다,3,0.0,0.06451612695109267,0.76,0.1649
초과,3,1.0,0.06451612695109267,0.7,0.7529
수행,3,0.2,0.06451612695109267,0.7,0.2729
건물,3,-0.1429,0.06451612695109267,0.76,0.0792
포르툼,3,0.5,0.06451612695109267,0.76,0.4649
재정,3,0.2,0.06451612695109267,0.76,0.2849
레이,3,1.0,0.06451612695109267,0.9333400000000001,0.7996
애널,3,-0.1429,0.06451612695109267,0.76,0.0792
리스트,3,-0.1429,0.06451612695109267,0.8,0.0872
보트,3,0.2,0.06451612695109267,0.76,0.2849
서명,3,1.0,0.06451612695109267,0.76,0.7649
정원,3,1.0,0.06451612695109267,0.76,0.7649
신용,3,1.0,0.06451612695109267,1.0,0.8129
회전,3,1.0,0.06451612695109267,0.76,0.7649
다루다,3,1.0,0.06451612695109267,1.0,0.8129
자기,3,1.0,0.06451612695109267,0.76,0.7649
없다,3,-0.25,0.06451612695109267,1.0,0.0629
불다,3,1.0,0.06451612695109267,0.76,0.7649
면적,3,1.0,0.06451612695109267,0.76,0.7649
에베레스트,3,1.0,0.06451612695109267,1.0,0.8129
노선,3,-0.25,0.06451612695109267,0.7,0.0029
명령,3,1.0,0.06451612695109267,1.0,0.8129
일자리,3,-0.4,0.06451612695109267,1.0,-0.0271
톰슨,3,0.0,0.06451612695109267,1.0,0.2129
상용,3,1.0,0.06451612695109267,1.0,0.8129
절약,3,0.5,0.06451612695109267,0.76,0.4649
신디케이트,3,1.0,0.06451612695109267,0.76,0.7649
그루,3,1.0,0.06451612695109267,0.76,0.7649
모듈,3,1.0,0.06451612695109267,0.76,0.7649
연구,3,1.0,0.06451612695109267,0.6022799948538934,0.7334
운항,3,-0.1429,0.06451612695109267,0.7,0.0672
수가,3,0.0,0.06451612695109267,0.76,0.1649
매력,3,1.0,0.06451612695109267,1.0,0.8129
들이다,3,0.5,0.06451612695109267,1.0,0.5129
강철,3,0.2,0.06451612695109267,0.7,0.2729
노력,3,1.0,0.06451612695109267,0.76,0.7649
넘다,3,0.0,0.06451612695109267,1.0,0.2129
하루,3,1.0,0.06451612695109267,0.76,0.7649
펀드,3,0.5,0.06451612695109267,0.76,0.4649
강하다,3,0.5,0.06451612695109267,1.0,0.5129
나스닥,3,0.5,0.06451612695109267,0.33335,0.3796
응답,3,1.0,0.06451612695109267,0.7,0.7529
후자,3,1.0,0.06451612695109267,0.76,0.7649
남부,3,0.2,0.06451612695109267,0.76,0.2849
노마,3,0.0,0.06451612695109267,0.76,0.1649
주자,3,1.0,0.06451612695109267,0.76,0.7649
야드,3,1.0,0.06451612695109267,0.76,0.7649
대형,3,1.0,0.06451612695109267,1.0,0.8129
맥그리거,3,1.0,0.06451612695109267,0.76,0.7649
커버,3,1.0,0.06451612695109267,0.76,0.7649
전력,3,0.0,0.06451612695109267,0.76,0.1649
자료,3,0.5,0.06451612695109267,1.0,0.5129
머신,3,1.0,0.06451612695109267,0.76,0.7649
부여,3,1.0,0.06451612695109267,0.76,0.7649
갖다,3,1.0,0.06451612695109267,0.76,0.7649
유리하다,3,1.0,0.06451612695109267,0.8634165022453977,0.7856
이루어지다,3,-0.1429,0.06451612695109267,0.5143,0.03
정비,3,1.0,0.06451612695109267,0.76,0.7649
샬키,3,1.0,0.06451612695109267,0.76,0.7649
중개인,3,1.0,0.06451612695109267,0.6667,0.7462
케르,3,0.5,0.06451612695109267,0.7,0.4529
터키,3,1.0,0.06451612695109267,0.76,0.7649
전무,3,1.0,0.06451612695109267,0.76,0.7649
트롬,3,1.0,0.06451612695109267,0.76,0.7649
상장,3,1.0,0.06451612695109267,1.0,0.8129
절차,3,0.5,0.06451612695109267,0.76,0.4649
주택,3,-0.3333,0.06451612695109267,1.0,0.0129
낚시,3,1.0,0.06451612695109267,1.0,0.8129
카리,3,1.0,0.06451612695109267,1.0,0.8129
대화,3,1.0,0.06451612695109267,0.76,0.7649
중간,3,-0.25,0.06451612695109267,1.0,0.0629
환자,3,1.0,0.06451612695109267,1.0,0.8129
한편,3,0.5,0.06451612695109267,0.76,0.4649
바콘,3,1.0,0.06451612695109267,1.0,0.8129
나타내다,3,1.0,0.06451612695109267,0.6509249993330273,0.7431
상치,3,-0.1429,0.06451612695109267,1.0,0.1272
선단,3,1.0,0.06451612695109267,0.76,0.7649
원자재,3,0.2,0.06451612695109267,1.0,0.3329
마이크로소프트,3,1.0,0.06451612695109267,0.8071922667746938,0.7743
조합,3,1.0,0.06451612695109267,1.0,0.8129
통한,3,1.0,0.06451612695109267,0.76,0.7649
최신,3,0.5,0.06451612695109267,0.76,0.4649
변화,3,0.0,0.06451612695109267,0.76,0.1649
툴로넨,3,1.0,0.06451612695109267,0.76,0.7649
데스,3,1.0,0.06451612695109267,0.76,0.7649
가로지르다,3,1.0,0.06451612695109267,0.9141150917818246,0.7957
배당,3,1.0,0.06451612695109267,1.0,0.8129
조사,3,0.2,0.06451612695109267,0.0,0.1329
포레,3,0.2,0.06451612695109267,1.0,0.3329
아이넨,3,1.0,0.06451612695109267,1.0,0.8129
레이스,3,1.0,0.06451612695109267,0.9408810611394682,0.8011
마켓,3,0.5,0.06451612695109267,1.0,0.5129
기타,3,1.0,0.06451612695109267,0.76,0.7649
타다,3,0.5,0.06451612695109267,1.0,0.5129
공동,3,0.2,0.06451612695109267,0.76,0.2849
비료,3,1.0,0.06451612695109267,0.76,0.7649
폐기물,3,0.5,0.06451612695109267,0.76,0.4649
장치,3,0.5,0.06451612695109267,1.0,0.5129
자체,3,0.5,0.06451612695109267,1.0,0.5129
경영,3,0.2,0.06451612695109267,0.5,0.2329
적자,3,0.0,0.06451612695109267,0.76,0.1649
에스티,3,1.0,0.06451612695109267,1.0,0.8129
포의,3,1.0,0.06451612695109267,0.76,0.7649
개장,3,1.0,0.06451612695109267,0.7,0.7529
파운드,3,0.2,0.06451612695109267,0.76,0.2849
이틀,3,0.5,0.06451612695109267,0.76,0.4649
파일,3,1.0,0.06451612695109267,0.7,0.7529
등록,3,1.0,0.06451612695109267,0.0,0.6129
마련,3,0.5,0.06451612695109267,0.76,0.4649
살로,3,0.0,0.06451612695109267,1.0,0.2129
니스,3,1.0,0.06451612695109267,1.0,0.8129
최적화,3,1.0,0.06451612695109267,0.76,0.7649
싱가포르,3,1.0,0.06451612695109267,0.76,0.7649
코스,3,0.2,0.06451612695109267,0.5341604723530593,0.2397
개발자,3,1.0,0.06451612695109267,0.76,0.7649
줄이다,3,-0.4,0.06451612695109267,0.76,-0.0751
후보,3,1.0,0.06451612695109267,0.76,0.7649
컴포넌타,3,0.5,0.06451612695109267,0.6481111953970169,0.4425
투자가,3,1.0,0.06451612695109267,0.76,0.7649
고정,3,0.2,0.06451612695109267,0.76,0.2849
포괄,3,1.0,0.06451612695109267,0.76,0.7649
탈렌툼,3,-0.3333,0.06451612695109267,0.76,-0.0351
예비,3,0.5,0.06451612695109267,0.76,0.4649
부사,3,1.0,0.06451612695109267,0.76,0.7649
스톤,3,1.0,0.06451612695109267,1.0,0.8129
컴퓨터,3,0.5,0.06451612695109267,0.76,0.4649
살라,3,0.5,0.06451612695109267,0.76,0.4649
동물성,3,1.0,0.06451612695109267,1.0,0.8129
충전,3,1.0,0.06451612695109267,0.0,0.6129
급등,3,0.5,0.06451612695109267,0.76,0.4649
라이너,3,1.0,0.06451612695109267,0.9285749999999998,0.7986
크래프트,3,1.0,0.06451612695109267,0.76,0.7649
나아가다,3,1.0,0.06451612695109267,1.0,0.8129
빨르다,3,1.0,0.06451612695109267,0.76,0.7649
도움,3,1.0,0.06451612695109267,0.76,0.7649
피터스버그,3,1.0,0.06451612695109267,1.0,0.8129
스케,3,0.2,0.06451612695109267,0.76,0.2849
논문,3,1.0,0.06451612695109267,1.0,0.8129
사무실,3,1.0,0.06451612695109267,0.19980040415147948,0.6529
컴포넌트,3,0.5,0.06451612695109267,0.6481111953970169,0.4425
바이오디젤,3,1.0,0.06451612695109267,0.737557588793188,0.7604
쉬다,3,1.0,0.06451612695109267,0.76,0.7649
설명,3,-0.25,0.06451612695109267,0.76,0.0149
아이,3,1.0,0.06451612695109267,1.0,0.8129
그로,3,1.0,0.06451612695109267,0.5555666666666667,0.724
고기,3,1.0,0.06451612695109267,0.7,0.7529
배포,3,1.0,0.06451612695109267,0.76,0.7649
창고,3,1.0,0.06451612695109267,0.76,0.7649
곡물,3,1.0,0.06451612695109267,0.76,0.7649
바흐,3,1.0,0.06451612695109267,0.76,0.7649
진단,3,0.2,0.06451612695109267,0.76,0.2849
개조,3,1.0,0.06451612695109267,0.7,0.7529
바라다,3,1.0,0.06451612695109267,0.76,0.7649
조직,3,0.2,0.06451612695109267,1.0,0.3329
메르,3,0.5,0.06451612695109267,0.76,0.4649
채권,3,1.0,0.06451612695109267,0.76,0.7649
돌아서다,3,0.5,0.06451612695109267,0.76,0.4649
얻다,3,1.0,0.06451612695109267,0.76,0.7649
불가리아,3,1.0,0.06451612695109267,0.76,0.7649
공사,3,1.0,0.06451612695109267,0.3333,0.6796
모의,3,1.0,0.06451612695109267,0.76,0.7649
역사상,3,1.0,0.06451612695109267,1.0,0.8129
가까이,3,0.5,0.06451612695109267,0.76,0.4649
거의,3,-0.4,0.06451612695109267,0.76,-0.0751
현대,3,1.0,0.06451612695109267,1.0,0.8129
저렴하다,3,0.5,0.06451612695109267,0.76,0.4649
드라이브,3,1.0,0.06451612695109267,0.928575,0.7986
인근,3,1.0,0.06451612695109267,1.0,0.8129
추진,3,1.0,0.06451612695109267,1.0,0.8129
흥미롭다,3,1.0,0.06451612695109267,0.76,0.7649
단체,3,0.0,0.06451612695109267,0.76,0.1649
매년,3,1.0,0.06451612695109267,0.76,0.7649
파노,3,1.0,0.06451612695109267,0.76,0.7649
전문성,3,1.0,0.06451612695109267,1.0,0.8129
페이퍼,3,0.0,0.06451612695109267,1.0,0.2129
지오,3,0.5,0.06451612695109267,0.76,0.4649
시범,3,1.0,0.06451612695109267,0.76,0.7649
유통업체,3,1.0,0.06451612695109267,1.0,0.8129
그렇다,3,1.0,0.06451612695109267,0.76,0.7649
이드,3,1.0,0.06451612695109267,1.0,0.8129
보르,3,1.0,0.06451612695109267,0.76,0.7649
배치,3,1.0,0.06451612695109267,0.76,0.7649
이티,3,0.5,0.06451612695109267,1.0,0.5129
안감,3,1.0,0.06451612695109267,1.0,0.8129
사무소,3,0.5,0.06451612695109267,0.39960080830295897,0.3928
줍다,3,1.0,0.06451612695109267,0.76,0.7649
충분하다,3,0.2,0.06451612695109267,0.76,0.2849
상하이,3,1.0,0.06451612695109267,1.0,0.8129
스탠다드차타드,3,1.0,0.06451612695109267,0.76,0.7649
정책,3,0.5,0.06451612695109267,1.0,0.5129
중부,3,0.5,0.06451612695109267,0.5,0.4129
동유럽,3,1.0,0.06451612695109267,0.76,0.7649
연장,3,0.2,0.06451612695109267,0.76,0.2849
엔진,3,1.0,0.06451612695109267,1.0,0.8129
텔레,3,0.5,0.06451612695109267,0.880201217059357,0.4889
인정받다,3,1.0,0.06451612695109267,0.3333,0.6796
전문가,3,1.0,0.06451612695109267,1.0,0.8129
담당,3,0.5,0.06451612695109267,1.0,0.5129
획득,3,1.0,0.06451612695109267,0.76,0.7649
화로,3,1.0,0.06451612695109267,0.76,0.7649
평가,3,1.0,0.06451612695109267,0.7,0.7529
마티,3,1.0,0.06451612695109267,1.0,0.8129
확인,3,0.2,0.06451612695109267,0.76,0.2849
적절하다,3,1.0,0.06451612695109267,0.76,0.7649
수수료,3,0.2,0.06451612695109267,0.7,0.2729
적다,3,-0.25,0.06451612695109267,0.76,0.0149
크라운,3,1.0,0.06451612695109267,0.76,0.7649
노출,3,1.0,0.06451612695109267,0.76,0.7649
마가린,2,1.0,0.032258063475546335,0.76,0.7585
따라서,2,0.3333,0.032258063475546335,0.76,0.3584
주장,2,0.3333,0.032258063475546335,1.0,0.4064
자르다,2,1.0,0.032258063475546335,1.0,0.8065
터미널,2,0.3333,0.032258063475546335,0.76,0.3584
공간,2,1.0,0.032258063475546335,0.76,0.7585
연말,2,0.3333,0.032258063475546335,0.76,0.3584
커뮤니티,2,1.0,0.032258063475546335,0.76,0.7585
이해,2,0.3333,0.032258063475546335,1.0,0.4064
후원,2,1.0,0.032258063475546335,1.0,0.8065
승리,2,1.0,0.032258063475546335,1.0,0.8065
중이,2,0.3333,0.032258063475546335,0.76,0.3584
미화,2,0.3333,0.032258063475546335,0.76,0.3584
최소,2,1.0,0.032258063475546335,1.0,0.8065
단일,2,1.0,0.032258063475546335,1.0,0.8065
매디슨,2,1.0,0.032258063475546335,0.76,0.7585
균형,2,1.0,0.032258063475546335,0.76,0.7585
이루다,2,1.0,0.032258063475546335,1.0,0.8065
이뤄지다,2,0.0,0.032258063475546335,0.5143,0.1093
혜택,2,1.0,0.032258063475546335,0.76,0.7585
지다,2,1.0,0.032258063475546335,0.5143,0.7093
꾸준하다,2,1.0,0.032258063475546335,0.76,0.7585
철광석,2,1.0,0.032258063475546335,1.0,0.8065
세미나,2,1.0,0.032258063475546335,1.0,0.8065
추세,2,0.0,0.032258063475546335,0.76,0.1585
미치다,2,-0.7333,0.032258063475546335,0.6438163184855802,-0.3048
플라스틱,2,1.0,0.032258063475546335,0.600399191697041,0.7265
한번,2,1.0,0.032258063475546335,0.76,0.7585
상무,2,0.3333,0.032258063475546335,0.0,0.2064
출하,2,1.0,0.032258063475546335,0.76,0.7585
총괄,2,1.0,0.032258063475546335,1.0,0.8065
열렬하다,2,1.0,0.032258063475546335,0.76,0.7585
링크,2,-0.2,0.032258063475546335,1.0,0.0865
대신,2,1.0,0.032258063475546335,0.76,0.7585
발틱스,2,1.0,0.032258063475546335,0.76,0.7585
프로비저닝,2,1.0,0.032258063475546335,1.0,0.8065
선물,2,0.3333,0.032258063475546335,0.76,0.3584
뚜렷하다,2,1.0,0.032258063475546335,0.76,0.7585
나머지,2,1.0,0.032258063475546335,1.0,0.8065
우루과이,2,1.0,0.032258063475546335,0.76,0.7585
문구,2,0.3333,0.032258063475546335,0.76,0.3584
채용,2,1.0,0.032258063475546335,0.76,0.7585
공격,2,1.0,0.032258063475546335,0.76,0.7585
당국,2,0.3333,0.032258063475546335,0.76,0.3584
부합,2,1.0,0.032258063475546335,0.76,0.7585
상환,2,1.0,0.032258063475546335,0.76,0.7585
의장,2,0.3333,0.032258063475546335,0.76,0.3584
사상,2,1.0,0.032258063475546335,1.0,0.8065
이마리,2,-0.2,0.032258063475546335,0.5,-0.0135
감독,2,1.0,0.032258063475546335,0.76,0.7585
상의,2,1.0,0.032258063475546335,0.76,0.7585
발전소,2,1.0,0.032258063475546335,1.0,0.8065
병합,2,1.0,0.032258063475546335,0.76,0.7585
카우나스,2,1.0,0.032258063475546335,0.0028947348308825233,0.607
나브텍,2,1.0,0.032258063475546335,0.76,0.7585
월요일,2,-0.3333,0.032258063475546335,0.76,-0.0415
대가,2,1.0,0.032258063475546335,0.76,0.7585
성은,2,0.3333,0.032258063475546335,1.0,0.4064
블랙스톤,2,1.0,0.032258063475546335,1.0,0.8065
과자,2,1.0,0.032258063475546335,0.76,0.7585
이정표,2,1.0,0.032258063475546335,0.76,0.7585
전의,2,-0.3333,0.032258063475546335,0.76,-0.0415
타임,2,1.0,0.032258063475546335,1.0,0.8065
긴밀하다,2,1.0,0.032258063475546335,0.76,0.7585
사슬,2,1.0,0.032258063475546335,0.76,0.7585
돌다,2,0.0,0.032258063475546335,0.76,0.1585
비율,2,0.3333,0.032258063475546335,0.7,0.3464
동일하다,2,1.0,0.032258063475546335,0.76,0.7585
첸코프,2,0.0,0.032258063475546335,0.76,0.1585
인텔,2,1.0,0.032258063475546335,1.0,0.8065
유로켐,2,1.0,0.032258063475546335,0.76,0.7585
로프,2,1.0,0.032258063475546335,1.0,0.8065
소규모,2,0.3333,0.032258063475546335,0.76,0.3584
부담,2,-0.3333,0.032258063475546335,0.76,-0.0415
인정,2,0.3333,0.032258063475546335,0.3333,0.2731
성도,2,1.0,0.032258063475546335,0.76,0.7585
갱신,2,1.0,0.032258063475546335,1.0,0.8065
홍보,2,1.0,0.032258063475546335,0.76,0.7585
잠재,2,1.0,0.032258063475546335,0.76,0.7585
확충,2,1.0,0.032258063475546335,0.7,0.7465
마무리,2,1.0,0.032258063475546335,0.76,0.7585
델리,2,1.0,0.032258063475546335,0.76,0.7585
에이,2,1.0,0.032258063475546335,1.0,0.8065
찬성,2,1.0,0.032258063475546335,0.76,0.7585
모델링,2,1.0,0.032258063475546335,0.7143,0.7493
캠페인,2,1.0,0.032258063475546335,0.76,0.7585
영광,2,1.0,0.032258063475546335,0.76,0.7585
티모,2,1.0,0.032258063475546335,0.0,0.6065
신선하다,2,1.0,0.032258063475546335,0.76,0.7585
비행,2,1.0,0.032258063475546335,0.76,0.7585
인접,2,1.0,0.032258063475546335,0.76,0.7585
안전성,2,1.0,0.032258063475546335,1.0,0.8065
해양,2,0.3333,0.032258063475546335,0.76,0.3584
지금,2,0.0,0.032258063475546335,0.76,0.1585
결제,2,1.0,0.032258063475546335,0.76,0.7585
사전,2,1.0,0.032258063475546335,0.76,0.7585
치료,2,1.0,0.032258063475546335,0.76,0.7585
신제품,2,1.0,0.032258063475546335,0.76,0.7585
쿠이투,2,1.0,0.032258063475546335,0.76,0.7585
시마노,2,1.0,0.032258063475546335,0.76,0.7585
터치,2,1.0,0.032258063475546335,0.7,0.7465
버스,2,1.0,0.032258063475546335,1.0,0.8065
스토어,2,1.0,0.032258063475546335,0.6232721128159507,0.7311
진전,2,1.0,0.032258063475546335,0.76,0.7585
구동,2,1.0,0.032258063475546335,0.76,0.7585
연맹,2,1.0,0.032258063475546335,0.76,0.7585
전통,2,1.0,0.032258063475546335,0.76,0.7585
움직임,2,1.0,0.032258063475546335,0.76,0.7585
양사,2,0.3333,0.032258063475546335,0.76,0.3584
농장,2,1.0,0.032258063475546335,0.76,0.7585
철골,2,1.0,0.032258063475546335,0.76,0.7585
탄소,2,1.0,0.032258063475546335,0.7,0.7465
리치,2,1.0,0.032258063475546335,0.76,0.7585
기지국,2,1.0,0.032258063475546335,0.7,0.7465
관찰,2,1.0,0.032258063475546335,0.76,0.7585
확실하다,2,0.3333,0.032258063475546335,0.76,0.3584
페리,2,0.0,0.032258063475546335,1.0,0.2065
방문객,2,1.0,0.032258063475546335,1.0,0.8065
인적,2,1.0,0.032258063475546335,0.76,0.7585
인증,2,1.0,0.032258063475546335,0.76,0.7585
모건,2,0.3333,0.032258063475546335,0.76,0.3584
팜유,2,1.0,0.032258063475546335,0.76,0.7585
미카,2,1.0,0.032258063475546335,1.0,0.8065
솔텍,2,1.0,0.032258063475546335,0.76,0.7585
거치다,2,1.0,0.032258063475546335,0.026443143316636344,0.6117
트릭,2,0.3333,0.032258063475546335,0.76,0.3584
유명,2,1.0,0.032258063475546335,0.76,0.7585
트럭,2,0.3333,0.032258063475546335,1.0,0.4064
컨셉,2,1.0,0.032258063475546335,0.76,0.7585
사실,2,1.0,0.032258063475546335,0.76,0.7585
베니,2,1.0,0.032258063475546335,0.76,0.7585
라운드,2,1.0,0.032258063475546335,1.0,0.8065
사례,2,1.0,0.032258063475546335,0.76,0.7585
대응,2,1.0,0.032258063475546335,0.76,0.7585
재고,2,0.3333,0.032258063475546335,0.76,0.3584
변경,2,0.0,0.032258063475546335,1.0,0.2065
사항,2,1.0,0.032258063475546335,1.0,0.8065
위생,2,1.0,0.032258063475546335,0.76,0.7585
이스라엘,2,1.0,0.032258063475546335,0.76,0.7585
마루,2,1.0,0.032258063475546335,0.76,0.7585
상호,2,1.0,0.032258063475546335,0.76,0.7585
끝나다,2,0.3333,0.032258063475546335,0.6,0.3264
탄자니아,2,1.0,0.032258063475546335,1.0,0.8065
수상하다,2,1.0,0.032258063475546335,1.0,0.8065
내부,2,1.0,0.032258063475546335,0.76,0.7585
큐어,2,1.0,0.032258063475546335,0.76,0.7585
버그,2,1.0,0.032258063475546335,1.0,0.8065
번창,2,1.0,0.032258063475546335,0.76,0.7585
파크,2,1.0,0.032258063475546335,0.76,0.7585
리앤,2,1.0,0.032258063475546335,0.76,0.7585
폴리스,2,1.0,0.032258063475546335,0.8,0.7665
살로몬,2,1.0,0.032258063475546335,0.0,0.6065
기대,2,1.0,0.032258063475546335,1.0,0.8065
그녀,2,1.0,0.032258063475546335,0.76,0.7585
구름,2,1.0,0.032258063475546335,1.0,0.8065
란스,2,0.0,0.032258063475546335,1.0,0.2065
레민카이넨,2,1.0,0.032258063475546335,1.0,0.8065
카탈,2,0.3333,0.032258063475546335,1.0,0.4064
루오,2,0.3333,0.032258063475546335,0.7,0.3464
하청,2,1.0,0.032258063475546335,0.76,0.7585
핀란드인,2,1.0,0.032258063475546335,0.7073824538067907,0.7479
수명,2,1.0,0.032258063475546335,1.0,0.8065
중심,2,1.0,0.032258063475546335,1.0,0.8065
부샨,2,1.0,0.032258063475546335,0.76,0.7585
란타넨,2,1.0,0.032258063475546335,0.76,0.7585
지출,2,-0.3333,0.032258063475546335,0.76,-0.0415
기상,2,1.0,0.032258063475546335,0.76,0.7585
카메라,2,1.0,0.032258063475546335,0.76,0.7585
제품군,2,1.0,0.032258063475546335,0.76,0.7585
비디오,2,1.0,0.032258063475546335,0.76,0.7585
소비재,2,1.0,0.032258063475546335,0.5478842468783711,0.716
치르다,2,-0.5,0.032258063475546335,1.0,-0.0935
스틸,2,1.0,0.032258063475546335,0.76,0.7585
토쿰,2,1.0,0.032258063475546335,0.6329748115135448,0.733
뜨겁다,2,1.0,0.032258063475546335,0.76,0.7585
하이,2,1.0,0.032258063475546335,1.0,0.8065
방식,2,1.0,0.032258063475546335,0.76,0.7585
주차,2,1.0,0.032258063475546335,1.0,0.8065
알루미늄,2,1.0,0.032258063475546335,0.76,0.7585
아가,2,1.0,0.032258063475546335,1.0,0.8065
신문,2,0.3333,0.032258063475546335,1.0,0.4064
호텔,2,1.0,0.032258063475546335,0.76,0.7585
살콤프,2,0.0,0.032258063475546335,0.76,0.1585
